housewife,old,policeman,maid,homosexual,aliens,slave,gay,tribe,actress
supported:0.9952,fluctuations:0.8958,walter:0.9125,leggy:0.9651,silver:0.9934,mckinnon:0.9883,fitzpatrick:0.9843,suddenly:0.9959,confused:0.9153,mayor:0.9919
nurse:0.9952,tonnes:0.8937,placements:0.9103,swanson:0.9647,development:0.9934,surveillance:0.9882,helaire:0.9842,rumors:0.9959,miners:0.915,late:0.9918
bought:0.9952,spartacus:0.8931,vigilante:0.9101,demers:0.9643,managers:0.9934,enormous:0.9881,animal:0.9841,exposed:0.9958,struggling:0.915,wednesday:0.9911
bedroom:0.9952,telecast:0.8887,starter:0.9088,jen:0.964,resort:0.9933,florence:0.9881,tim:0.984,champ:0.9957,induced:0.9149,thursday:0.991
followed:0.9951,invoked:0.8886,monstrous:0.9083,dressing:0.9639,rising:0.9933,kyle:0.9881,insta:0.984,wanda:0.9957,citizenship:0.9148,columbus:0.9909
kate:0.9951,registrations:0.8883,greatnes:0.9078,tuck:0.9637,timothy:0.9933,fossil:0.9881,toss:0.9838,whom:0.9957,others:0.9148,fatal:0.9908
lines:0.9951,hee:0.8878,stressful:0.9077,tambe:0.9636,stevie:0.9932,jeremy:0.988,famer:0.9837,hired:0.9956,pods:0.9148,completed:0.9908
rihanna:0.9951,49ers:0.8865,wrestled:0.9055,relaxing:0.9635,firm:0.9932,registration:0.988,foul:0.9837,interviewed:0.9955,vulnerable:0.9144,wife:0.9908
dominated:0.995,dar:0.8828,beverages:0.9055,expertly:0.9633,buttigieg:0.9932,cinematic:0.988,climb:0.9837,rumoured:0.9954,expletives:0.9139,reid:0.9906
poppins:0.995,defiant:0.8765,siren:0.9039,desk:0.9632,bottles:0.9931,beck:0.988,brien:0.9837,apparently:0.9954,tunnels:0.9138,runway:0.9905
hopes:0.9949,woodward:0.8753,jailed:0.9034,attorney:0.9631,fuchsia:0.9931,solveig:0.988,divine:0.9837,noted:0.9954,labeling:0.9134,office:0.9903
davies:0.9949,prioritise:0.8734,comparatively:0.9031,eliminate:0.963,permission:0.9931,sauce:0.988,heir:0.9837,gerard:0.9952,often:0.9133,grammy:0.9901
reality:0.9949,concurrent:0.8683,defer:0.9027,tracey:0.9629,block:0.9931,burton:0.988,skirt:0.9836,schedule:0.9951,businesses:0.913,tenure:0.9901
cleveland:0.9949,rollback:0.8673,seven:0.9025,frida:0.9626,chelsea:0.9931,burlap:0.9879,athletic:0.9835,shade:0.995,masking:0.913,cheating:0.9899
paul:0.9949,eon:0.8669,sophomore:0.9022,steeg:0.9625,candidate:0.9931,fish:0.9879,hiking:0.9835,brought:0.995,scraping:0.9129,posted:0.9897
begins:0.9949,sands:0.8665,brayden:0.9022,swns:0.9623,historical:0.993,bore:0.9878,prop:0.9835,premise:0.995,connery:0.9128,august:0.9897
youngest:0.9948,hiatus:0.8637,roehampton:0.9013,organizer:0.9623,carries:0.993,wealthy:0.9878,branding:0.9833,settled:0.995,women:0.9126,badzak:0.9896
birth:0.9948,enshrinement:0.8633,tragically:0.9012,screengrabs:0.9622,soil:0.993,mac:0.9878,nevada:0.9832,venus:0.995,ambulances:0.9122,son:0.9895
band:0.9947,organs:0.8623,financed:0.9009,impeachment:0.9622,background:0.993,gin:0.9878,icon:0.9832,secretly:0.995,individuals:0.9122,london:0.9895
rebel:0.9947,cartwheeling:0.8623,moneymumofficial:0.9003,posted:0.9621,water:0.993,lightly:0.9878,flashed:0.9831,benefits:0.995,risks:0.9121,brother:0.9895
quit:0.9947,coincides:0.8609,ago:0.8996,statement:0.9621,artist:0.9929,charming:0.9878,jet:0.983,harry:0.995,occur:0.9119,insurrection:0.9893
trading:0.9947,ago:0.8606,three:0.8995,badzak:0.962,gathering:0.9929,bags:0.9878,vintage:0.9829,crowe:0.995,ins:0.9118,sven:0.9893
attempted:0.9947,mandated:0.8589,mandated:0.899,licht:0.9619,property:0.9929,cnet:0.9878,monitor:0.9829,stopped:0.995,cryptocurrencies:0.9118,deadline:0.9892
sept:0.9946,greatnes:0.858,earning:0.8989,christening:0.9618,candy:0.9929,playbook:0.9878,scroll:0.9829,hardly:0.995,nonconforming:0.9118,jfk:0.9891
producer:0.9946,later:0.8577,freshman:0.8977,fogerty:0.9618,iconic:0.9929,zammit:0.9878,cabana:0.9828,date:0.9949,isolating:0.9116,gesture:0.9891
hero:0.9946,payton:0.8573,racked:0.8973,snyder:0.9618,motivational:0.9929,lukashenko:0.9877,belichick:0.9828,discovered:0.9949,splutters:0.9116,player:0.9891
theatre:0.9946,interim:0.8568,old:0.897,insurrection:0.9617,insurance:0.9929,fauci:0.9877,tank:0.9828,convict:0.9949,industries:0.9114,pictured:0.9889
faces:0.9945,phasing:0.8561,controversial:0.8964,fabiola:0.9613,beijing:0.9929,redd:0.9877,hustlers:0.9828,decided:0.9949,voices:0.9112,administration:0.9888
nicole:0.9945,monstrous:0.8541,yea:0.8954,visited:0.9611,carrying:0.9929,lodge:0.9877,slipped:0.9828,shock:0.9948,older:0.9112,actor:0.9887
shocking:0.9945,sophomore:0.854,eight:0.895,gambit:0.9611,rule:0.9929,steven:0.9877,launching:0.9827,specifically:0.9948,envision:0.911,thicke:0.9887
megan:0.9945,poorvi:0.8471,prioritise:0.8949,afterwards:0.9608,neil:0.9928,gender:0.9877,graduate:0.9827,twice:0.9948,religious:0.9109,outing:0.9885
political:0.9945,confessional:0.8465,collaboration:0.8947,finances:0.9606,charles:0.9928,substances:0.9877,ups:0.9827,fling:0.9947,overwhelmed:0.9107,april:0.9885
losing:0.9945,albom:0.8455,stint:0.8939,solitaire:0.9606,citing:0.9928,tipuric:0.9877,30pm:0.9827,honoured:0.9947,vaccines:0.9107,december:0.9884
relative:0.9945,bridesmaid:0.8445,per:0.8939,monster:0.9604,store:0.9927,amounts:0.9877,chorus:0.9826,stone:0.9946,generally:0.9107,newborn:0.9884
visiting:0.9944,funniest:0.8427,anniversary:0.8937,jasna:0.9604,christina:0.9927,glaciers:0.9876,flashing:0.9826,ricci:0.9946,ignored:0.9106,stormed:0.9883
stevens:0.9944,yea:0.8425,organs:0.8937,elect:0.9604,liz:0.9927,bangles:0.9876,concrete:0.9826,wakeland:0.9946,rely:0.9106,mogul:0.9883
rule:0.9944,inductees:0.8405,poorvi:0.8934,took:0.9602,liam:0.9927,destruction:0.9876,opera:0.9825,results:0.9946,muscles:0.9104,played:0.9882
joint:0.9944,sequences:0.8402,enshrinement:0.8933,chestnut:0.9601,florence:0.9927,worthy:0.9876,scissorhands:0.9825,hopeful:0.9946,studies:0.9103,songwriter:0.988
target:0.9944,stressful:0.8398,503million:0.893,estranged:0.96,improved:0.9927,designing:0.9876,suggestions:0.9825,act:0.9945,usually:0.9103,member:0.988
relaxed:0.9944,roehampton:0.8392,otis:0.8924,waitrose:0.9598,franklin:0.9927,alex:0.9876,wind:0.9825,garcia:0.9945,folks:0.9101,nicknamed:0.9879
jason:0.9944,anja:0.8358,sands:0.8922,jerry:0.9597,entry:0.9927,peace:0.9875,panning:0.9825,aka:0.9944,spoiled:0.9101,newspaper:0.9877
tragic:0.9944,yag:0.8355,annus:0.8918,clot:0.9595,accusation:0.9927,investigate:0.9874,omar:0.9824,glitter:0.9944,optimism:0.9101,career:0.9876
diamond:0.9943,unenviable:0.835,photojournalist:0.8915,maria:0.9594,supply:0.9927,jonathan:0.9874,bafta:0.9824,sexually:0.9944,directions:0.9101,veteran:0.9876
escort:0.9943,defer:0.8331,detected:0.8914,dead:0.9594,combination:0.9927,iran:0.9874,briefing:0.9823,reporters:0.9944,prices:0.9099,series:0.9875
lucy:0.9943,snows:0.8325,wizard:0.8908,musk:0.9594,catherine:0.9926,lloyd:0.9874,jane:0.9823,ordered:0.9943,themselves:0.9097,oldest:0.9874
coin:0.9943,salaam:0.8324,kilburn:0.8907,feather:0.9594,winnie:0.9926,moinet:0.9874,jimmy:0.9823,jamie:0.9943,unfair:0.9094,impeachment:0.9874
overall:0.9943,13th:0.8324,nastya:0.8906,fixation:0.9591,flowing:0.9926,laws:0.9873,cocoa:0.9823,gonzalez:0.9942,repertory:0.9092,complaint:0.9873
turns:0.9943,demi:0.8312,candour:0.8902,december:0.9591,mesh:0.9926,cable:0.9873,wwe:0.9822,rejected:0.9942,separately:0.9091,sydney:0.9872
step:0.9943,flipkens:0.8305,zane:0.8901,sheriff:0.9591,buckingham:0.9926,cheese:0.9873,hockey:0.9822,speaking:0.9942,schools:0.909,baker:0.9872
holiday:0.9943,sightseeing:0.8302,two:0.8901,bridgers:0.9591,fleetwood:0.9926,allies:0.9873,update:0.9822,detective:0.9942,stress:0.909,venice:0.9872
disaster:0.9943,emitter:0.8298,flipkens:0.8898,minneapolis:0.959,mick:0.9926,bread:0.9873,zest:0.9822,hammer:0.9942,predict:0.9089,tying:0.987
famous:0.9942,judith:0.8284,koma:0.8898,dorothy:0.959,novel:0.9926,jeff:0.9873,gordon:0.9822,romance:0.9941,britons:0.9089,walked:0.987
lorenze:0.9942,beverages:0.828,telecast:0.8895,brunette:0.9589,various:0.9926,supply:0.9872,rendition:0.9822,request:0.9941,dismiss:0.9088,model:0.9869
roughly:0.9942,anyplace:0.8273,quarters:0.8895,clinton:0.9589,investigate:0.9926,reveals:0.9872,musical:0.9822,boy:0.994,color:0.9086,inciting:0.9869
contract:0.9942,outdueled:0.8262,sprinted:0.8894,painter:0.9589,turner:0.9926,carrie:0.9872,cream:0.9821,cop:0.994,waiting:0.9086,stroll:0.9869
class:0.9942,nastya:0.8261,freddie:0.8891,sensational:0.9586,alexandra:0.9926,turner:0.9872,ray:0.9821,portrayed:0.994,employ:0.9084,brentwood:0.9869
bob:0.9942,mohammed:0.8248,dairy:0.8887,newspaper:0.9585,valerie:0.9926,bombs:0.9872,trophy:0.9821,dominion:0.9939,duration:0.9083,splitting:0.9868
dog:0.9942,colon:0.8238,desai:0.8879,joe:0.9584,lover:0.9926,designed:0.9872,matthew:0.9821,scott:0.9939,blockers:0.9081,signed:0.9867
morgan:0.9942,40million:0.8234,celebs:0.8877,upbeat:0.9584,popular:0.9925,cafe:0.9872,ginger:0.9821,ford:0.9939,trans:0.9081,leagues:0.9866
private:0.9942,bookended:0.8202,savannah:0.8875,thenardier:0.9584,hemsworth:0.9925,warm:0.9872,del:0.9821,broken:0.9939,seek:0.908,sixth:0.9866
sweet:0.9941,moneymumofficial:0.8197,quarantining:0.8873,tweets:0.9583,hidden:0.9925,independent:0.9872,comedy:0.982,drinking:0.9938,individuality:0.9079,killing:0.9865
separation:0.9941,photojournalist:0.8186,six:0.8871,gps:0.9582,christopher:0.9925,santa:0.9871,enticing:0.982,taught:0.9938,relevant:0.9078,rapper:0.9865
halfpenny:0.9941,slimmer:0.8178,mohammed:0.8871,chanel:0.9582,harlow:0.9925,barbie:0.9871,honorary:0.982,mcgowan:0.9938,viruses:0.9078,tribune:0.9864
placed:0.9941,calendar:0.8173,vung:0.8869,arrived:0.9581,migrant:0.9925,lip:0.9871,considers:0.982,brain:0.9938,urgent:0.9078,inducted:0.9864
label:0.9941,financed:0.8164,nearly:0.8867,laying:0.9581,roots:0.9925,status:0.9871,slopes:0.982,court:0.9937,dependents:0.9077,electoral:0.9864
innovation:0.9941,impeach:0.8159,stabbing:0.8867,tagged:0.9581,defense:0.9925,acid:0.9871,juice:0.9819,bush:0.9937,nonbinary:0.9077,antichrist:0.9863
diyabanza:0.9941,tragically:0.8157,funniest:0.8865,blocked:0.958,suit:0.9924,piper:0.9871,judiciary:0.9819,figuratively:0.9936,participate:0.9076,20th:0.9863
keeping:0.9941,sprinted:0.8154,defeats:0.8861,bullies:0.958,damaged:0.9924,related:0.9871,headed:0.9819,whatsoever:0.9936,insiders:0.9076,photo:0.9863
hitmaker:0.9941,centenary:0.8152,later:0.8857,sling:0.9579,natalie:0.9924,moffat:0.9871,ryder:0.9819,barts:0.9936,residents:0.9075,heavyweight:0.9862
emoji:0.9941,nomadland:0.815,swan:0.8857,luther:0.9579,flood:0.9924,bradshaw:0.987,lands:0.9818,offenders:0.9936,barely:0.9075,hit:0.9861
log:0.994,54m:0.8146,crammed:0.8854,tresses:0.9579,moniz:0.9924,normally:0.987,sado:0.9818,saved:0.9936,victims:0.9075,18th:0.9861
mrs:0.994,marking:0.8142,20th:0.8853,notified:0.9579,spanish:0.9924,colour:0.987,cannon:0.9818,adam:0.9935,tear:0.9075,presidency:0.9861
ingrid:0.994,wenliang:0.8139,marking:0.8851,phillips:0.9578,creative:0.9924,broad:0.987,minus:0.9817,salon:0.9935,companies:0.9075,presidential:0.9861
hoya:0.994,lola:0.8135,sentence:0.8849,named:0.9577,javeri:0.9924,amy:0.987,swept:0.9817,planned:0.9935,globally:0.9074,farrow:0.9861
failed:0.994,hourlong:0.8132,bookended:0.8847,timed:0.9577,robinson:0.9924,munitions:0.987,geneva:0.9817,secret:0.9935,farmers:0.9074,swanson:0.9861
unit:0.994,50million:0.8132,barcelona:0.8842,stacey:0.9577,master:0.9924,explains:0.987,gal:0.9817,aggressive:0.9935,americans:0.9073,tore:0.986
ashley:0.994,siren:0.8109,inductees:0.8842,providence:0.9575,chris:0.9924,valerie:0.987,newsroom:0.9817,warned:0.9934,hiring:0.9072,hailed:0.986
vanishing:0.994,koma:0.8101,horribilis:0.8841,complaint:0.9575,mac:0.9924,gann:0.987,knife:0.9816,officially:0.9934,labyrinth:0.9072,opened:0.986
exuded:0.994,freshman:0.8099,postponed:0.8841,hunter:0.9574,rare:0.9924,feeding:0.987,complemented:0.9816,improving:0.9934,boil:0.9071,vegas:0.9859
centre:0.994,anniversary:0.8097,housewives:0.8839,walked:0.9574,marvel:0.9924,braised:0.9869,paired:0.9816,theft:0.9934,insecure:0.9071,friday:0.9859
backed:0.994,vladislav:0.8094,kazakh:0.8838,suv:0.9574,rapidly:0.9924,colored:0.9869,street:0.9816,ken:0.9934,harpoon:0.9069,starred:0.9858
hidden:0.994,comparatively:0.8093,equalling:0.8838,reposted:0.9573,arctic:0.9924,astrophysicist:0.9869,tablespoon:0.9816,threatened:0.9934,bipartisan:0.9069,announcement:0.9858
artist:0.9939,olympian:0.8083,hourlong:0.8836,endured:0.9572,mills:0.9923,solar:0.9869,bennett:0.9816,heavily:0.9933,involve:0.9069,spate:0.9858
agreement:0.9939,ciulla:0.8082,fang:0.8835,november:0.9572,related:0.9923,downtown:0.9869,rinsed:0.9816,breach:0.9933,witnesses:0.9069,accompanied:0.9857
sun:0.9939,hdr:0.8063,altercation:0.8833,jokingly:0.9572,chan:0.9923,bryan:0.9869,press:0.9816,forced:0.9933,candidates:0.9068,australian:0.9857
certificate:0.9939,vigilante:0.8049,wichita:0.8829,royale:0.9572,lopez:0.9923,reform:0.9869,lengthy:0.9816,unemployment:0.9933,managerial:0.9067,spinks:0.9857
stocks:0.9939,five:0.8028,april:0.8818,informing:0.9572,string:0.9923,providing:0.9869,pennsylvania:0.9815,impunity:0.9933,laboratories:0.9065,gang:0.9856
